pincode,latitude,longitude,hmap,name
400074,19.029,72.8881,0.1,Randy Hicks
400037,19.0257,72.8697,0.1,Calvin Potts
400042,19.1338,72.9384,0.1,Nancy Kelley
400615,19.2683,72.971,0.1,Robert Richmond
400058,19.1227,72.8302,0.1,Andrew Watkins
400081,19.1661,72.9646,0.1,William Sloan
400008,18.9671,72.8287,0.1,Joshua Cooley
400058,19.1227,72.8302,0.1,Ronald Strickland
400066,19.2313,72.8635,0.1,Calvin Rodgers
400086,19.0893,72.9078,0.1,Martin Davenport
400101,19.2059,72.8661,0.1,Carla Huff
400050,19.0552,72.83,0.1,Adam Pham
400071,19.0521,72.9007,0.1,Mr. Daniel Davidson DDS
400008,18.9671,72.8287,0.1,Michael Murphy
400064,19.1872,72.8407,0.1,Curtis Bernard
400036,18.9625,72.805,0.1,Zachary Smith
400059,19.1119,72.879,0.1,Daniel Bryant
400013,18.9982,72.8275,0.1,Stephen Peterson
400005,18.9104,72.8198,0.1,Denise Clark
400017,19.0456,72.8537,0.1,Anne Foster
400007,18.9618,72.8134,0.1,Michelle Banks
400043,19.0633,72.9258,0.1,Alyssa Johnson
400058,19.1227,72.8302,0.1,Amber Alvarez
400006,18.9541,72.8004,0.1,Megan Becker
400074,19.029,72.8881,0.1,Charles Smith
400064,19.1872,72.8407,0.1,Carl Cook
400082,19.1741,72.9372,0.1,Daniel Cummings
400010,18.9702,72.846,0.1,John Moore
400094,19.0359,72.9247,0.1,Mr. Jason Adams
400038,18.9377,72.839,0.1,Andrew Mays
400701,19.125362,72.999199,0.1,Douglas Brady
400033,18.9856,72.8442,0.1,Sean Hickman
400015,18.9961,72.8528,0.1,Caleb Bradley
400063,19.1648,72.8533,0.1,Tammy Lewis
400042,19.1338,72.9384,0.1,Cindy West
400069,19.1178,72.8737,0.1,James Zimmerman
400078,19.157,72.9327,0.1,Linda Harrell
400069,19.1178,72.8737,0.1,Amy Thomas
400026,18.9706,72.8095,0.1,David Hill
400035,18.9417,72.7936,0.1,David Hicks PhD
400021,18.9256,72.8242,0.1,Paul Parsons
400057,19.1007,72.8485,0.1,James Carter
400088,19.0483,72.9288,0.1,Ethan Fernandez
400014,19.0148,72.8455,0.1,Nicole Moran
400051,19.0596,72.8553,0.1,Joseph Smith
400013,18.9982,72.8275,0.1,Gregory Simmons
400050,19.0552,72.83,0.1,Cindy Morgan
400008,18.9671,72.8287,0.1,Jeremy Boyd
400084,19.0976,72.9032,0.1,Katherine Dominguez
400074,19.029,72.8881,0.1,Jacob Atkinson
400090,19.1629,72.8353,0.1,Bradley Bell
400034,18.9724,72.8148,0.1,Cory Phillips
400101,19.2059,72.8661,0.1,Richard Morgan
400088,19.0483,72.9288,0.1,Holly Thompson
400078,19.157,72.9327,0.1,William Conley
400033,18.9856,72.8442,0.1,Jennifer Parks
400061,19.1427,72.8053,0.1,Amy Schultz
400057,19.1007,72.8485,0.1,Carl Miller
400005,18.9104,72.8198,0.1,Danny Grimes
400076,19.1239,72.9094,0.1,Thomas Powers
400009,18.9583,72.8389,0.1,James Rubio
400003,18.9532,72.8353,0.1,Carrie Arellano
400093,19.1283,72.8677,0.1,William Baker
400098,19.0718,72.8615,0.1,Jamie Phillips
400023,18.9321,72.8323,0.1,Cody Porter
400034,18.9724,72.8148,0.1,Joseph Davis
400054,19.082,72.8345,0.1,Alexandria Harvey
400093,19.1283,72.8677,0.1,Andrew Washington
400018,18.9985,72.8174,0.1,Andrew Marquez
400026,18.9706,72.8095,0.1,Michael Flores
400708,19.157934,72.993477,0.1,Craig Montoya
400028,19.0217,72.8375,0.1,Teresa Martinez
400005,18.9104,72.8198,0.1,Wesley Juarez
400069,19.1178,72.8737,0.1,Jason Coleman
400091,19.234,72.8399,0.1,Derrick Long
400039,18.9223,72.8312,0.1,Steven Roberts IV
400075,19.0799,72.9174,0.1,Thomas Black
400081,19.1661,72.9646,0.1,Edward Conley
400071,19.0521,72.9007,0.1,Ryan Walker
400022,19.0426,72.8638,0.1,Samantha Mack
