sid,stream,name,mob_no,email,gender,x_perc,xii_perc,cet_perc,physics_xii,chem_xii,maths_xii,jee_perc,father_name,father_occupation,mother_name,mother_occupation,parent_income,pincode
20211100001,COMPS,Scott Chen,9987945610,scottchen@hotmail.com,M,57.89,55.93,73.89,79.38,91.39,57.64,45.07,Matthew Maxwell,Water engineer,Sarah Bennett,Barrister's clerk,154218,400085
20211100002,EXTC,Julian Roberson,9987798355,julianroberson@gmail.com,M,87.53,75.91,92.76,90.67,80.73,72.36,52.25,Tyrone Carter,Human resources officer,Jasmine Johnson,Child psychotherapist,1469922,400039
20211100003,EXTC,Phillip Howard,7738746904,philliphoward@gmail.com,M,74.11,85.28,68.97,99.09,60.65,83.95,27.57,Frank Crawford,"Engineer, chemical",Ashley Graves,Diagnostic radiographer,976289,400069
20211100004,MECH,John Matthews,9665945595,johnmatthews@yahoo.com,M,71.57,64.07,25.36,71.97,85.14,96.48,67.66,Raymond Pugh Jr.,Fast food restaurant manager,Gabriella Hernandez,"Civil engineer, contracting",620956,400057
20211100005,EXTC,Jeremy Mahoney,9892610305,jeremymahoney@yahoo.com,M,56.37,69.49,41.09,51.28,58.08,98.0,30.58,Joshua Wright,Politician's assistant,Kristi Gregory,Structural engineer,1487877,400102
20211100006,COMPS,Harold Wilson,9867993515,haroldwilson@gmail.com,M,77.72,61.95,81.67,73.48,80.37,55.15,37.07,Joseph Chandler,"Librarian, public",Julie Mahoney,Community development worker,397808,400038
20211100007,EXTC,Sean Murphy,7738252334,seanmurphy@gmail.com,M,40.9,55.33,12.68,65.71,55.98,96.43,61.69,Chad Soto,"Engineer, water",Jessica Goodwin,Electrical engineer,730934,400053
20211100008,MECH,Matthew Harris,9967280392,matthewharris@gmail.com,M,56.86,72.68,91.84,66.74,82.42,93.95,8.18,John Lester,"Nurse, learning disability",Brenda Guerra,"Scientist, research (medical)",466826,400075
20211100009,MECH,Brianna Tate,9987312125,briannatate@yahoo.com,F,83.29,97.57,57.38,78.18,73.11,89.86,24.27,Dylan Lozano,Trade mark attorney,Alicia Tate,Quantity surveyor,314193,400097
20211100010,COMPS,Eric Holmes,8451816499,ericholmes@hotmail.com,M,69.04,88.09,66.61,62.69,82.51,78.97,16.12,Michael Grimes,"Development worker, community",Diamond Adams,"Scientist, marine",193670,400085
20211100011,IT,Tracy Anderson,9892140137,tracyanderson@gmail.com,M,35.26,93.03,47.72,65.07,50.38,75.0,9.65,Christopher Johnson,Technical sales engineer,Tanya Hansen,"Editor, commissioning",1188693,400082
20211100012,EXTC,John Anderson,8999580143,johnanderson@yahoo.com,M,93.92,71.57,42.47,79.93,54.16,55.29,20.28,Andrew Gray,Corporate treasurer,Cheyenne Willis,Media buyer,1280800,400009
20211100013,COMPS,Brandon Walker,9004434906,brandonwalker@gmail.com,M,43.44,55.03,78.43,76.25,52.3,79.87,61.57,Jose Rodriguez,"Therapist, speech and language",Brianna Brown,Geographical information systems officer,1092463,400065
20211100014,IT,James May,9987595839,jamesmay@hotmail.com,M,78.6,89.48,66.31,61.64,56.34,60.13,48.36,Scott Andersen,Volunteer coordinator,Jessica Hill,"Development worker, international aid",739415,400052
20211100015,IT,Mark Gillespie,9665163998,markgillespie@yahoo.com,M,42.07,95.56,96.29,67.56,84.43,96.58,74.07,Matthew Martinez,Occupational therapist,Monica Phillips,Publishing copy,765000,400058
20211100016,IT,Danielle Friedman,8452889806,daniellefriedman@yahoo.com,F,43.05,53.3,99.17,80.3,86.9,52.03,49.28,Lucas Rice,Analytical chemist,Jennifer Young,Health and safety adviser,278708,400043
20211100017,COMPS,Jason Gutierrez,9987320275,jasongutierrez@gmail.com,M,92.12,70.9,31.9,53.67,72.36,72.79,69.09,Scott Curtis,Geoscientist,Deborah Nelson,Geographical information systems officer,719695,400045
20211100018,COMPS,Christy Beltran,8450954148,christybeltran@gmail.com,F,78.66,97.78,5.01,77.95,64.14,55.86,73.84,Jason Jones,Glass blower/designer,Kristy Farley,Visual merchandiser,1427399,400009
20211100019,COMPS,Shawn Allen,9987220947,shawnallen@yahoo.com,M,70.41,76.71,51.13,69.56,68.13,69.14,8.3,Tyler Ford,"Engineer, broadcasting (operations)",Kathleen Marks,"Scientist, research (maths)",612744,400044
20211100020,COMPS,Robert Mullen,9967248106,robertmullen@gmail.com,M,39.58,65.85,17.95,88.57,69.9,86.97,3.94,Keith Jones,Camera operator,Stephanie Morse,Plant breeder/geneticist,390074,400102
20211100021,IT,John Gonzalez,7738836719,johngonzalez@gmail.com,M,61.74,87.16,95.61,89.83,50.32,82.35,78.97,Edwin Wilkinson,Estate agent,Stephanie Banks,"Administrator, local government",524079,400100
