sid,stream,name,mob_no,email,gender,x_perc,xii_perc,cet_perc,physics_xii,chem_xii,maths_xii,jee_perc,father_name,father_occupation,mother_name,mother_occupation,parent_income,pincode,minority
20211100001,EXTC,Michelle Thompson,9665677722,michellethompson@gmail.com,F,36.39,98.89,50.86,68.4,85.48,60.12,73.54,John Davidson,"Production designer, theatre/television/film",Andrea Dixon,Adult guidance worker,875833,400097,christian
20211100002,COMPS,Andrew Smith,8999823676,andrewsmith@gmail.com,M,93.97,67.85,31.83,72.04,82.16,86.13,16.86,Christopher Morales,"Journalist, magazine",Rebecca Wallace,Interpreter,434181,400065,christian
20211100003,MECH,Paul Robertson,8999737121,paulrobertson@hotmail.com,M,87.76,66.54,30.34,89.97,75.89,66.88,35.44,Willie Austin,"Loss adjuster, chartered",Lori Daniel,Chief Financial Officer,596008,400064,christian
20211100004,EXTC,John Santana,9967427952,johnsantana@gmail.com,M,40.13,83.62,65.84,61.21,97.62,65.26,41.7,Timothy Meyer,"Development worker, community",Tricia Bishop,"Pharmacist, community",1268275,400012,christian
20211100005,COMPS,Michael Garcia,9867362832,michaelgarcia@gmail.com,M,76.32,86.95,44.06,70.96,92.85,79.48,40.09,Carlos Norman,"Journalist, broadcasting",Mary Kelley,"Designer, furniture",1476479,400010,christian
20211100006,EXTC,William Edwards,7738339743,williamedwards@gmail.com,M,82.2,94.91,83.97,85.46,99.83,58.23,30.8,Nicholas Mercado,Tax adviser,Megan Johnson,Dancer,227725,400066,christian
20211100007,COMPS,Joseph Moreno,9892358351,josephmoreno@hotmail.com,M,78.11,97.52,70.11,84.71,94.2,91.02,75.17,Keith Richardson,Investment analyst,Evelyn Moore,Conference centre manager,788271,400099,christian
20211100008,EXTC,Stacie Alexander,9867185099,staciealexander@gmail.com,F,80.43,91.35,33.55,67.3,96.04,60.51,43.87,John Aguilar,Phytotherapist,Susan Hawkins,Location manager,1204592,400085,christian
20211100009,EXTC,Alex Allen,9867328326,alexallen@gmail.com,M,94.16,86.06,75.37,88.81,83.4,82.67,41.44,Brett Davis,Chartered legal executive (England and Wales),Julie Parsons,Television camera operator,1244459,400089,christian
20211100010,COMPS,Theresa Smith,9867720051,theresasmith@gmail.com,F,36.25,76.8,9.66,97.96,76.78,55.06,3.26,Michael Reynolds,"Scientist, physiological",Kim Lin,Press sub,1300180,400036,christian
20211100011,EXTC,Peter Riley,8451879594,peterriley@hotmail.com,M,84.14,61.65,9.59,81.92,65.68,80.61,34.98,Troy Schroeder,Animator,Dr. Jeanette Jordan MD,Clinical biochemist,732107,400008,christian
20211100012,IT,Leslie Woods,9004941954,lesliewoods@gmail.com,F,92.88,84,3.97,98.17,75.49,82.37,30.68,John Mcdonald,"Lecturer, further education",Tina Jones,Licensed conveyancer,148305,400075,christian
20211100013,MECH,Stephen Perez,8454937293,stephenperez@gmail.com,M,51.16,70.8,68.85,64.76,50.56,51.77,60.22,John Carpenter,Sports development officer,Ashley Carter,Pathologist,1143659,400034,christian
20211100014,COMPS,James Lang,9987546738,jameslang@yahoo.com,M,35.12,83.73,39.71,97.57,75.89,95.48,7.93,Matthew Roberts,"Librarian, academic",Stephanie Haney,Retail buyer,632109,400065,christian
20211100015,IT,Dustin Bishop,9892470375,dustinbishop@yahoo.com,M,92.45,75.13,52.92,57.94,60.58,57.24,22.61,Thomas Smith,"Engineer, automotive",Deborah Hernandez,Chartered management accountant,497675,400045,christian
20211100016,IT,Mr. Gregory Miller,9867822956,mr.gregorymiller@gmail.com,M,35.03,65.9,94.42,79.74,63.57,86.1,10.36,Christopher Michael,"Scientist, research (maths)",Cassandra Bryant,Insurance claims handler,1103746,400057,christian
20211100017,IT,Jean Valdez DDS,9665545185,jeanvaldezdds@gmail.com,F,69.13,73.53,32.36,55.12,64.68,90.3,35.21,William Burnett,Community arts worker,Gabrielle Mitchell,Soil scientist,1056377,400042,christian
20211100018,MECH,Edward Miller,9987731917,edwardmiller@gmail.com,M,71.39,61.12,2.66,57.48,87.64,50.15,37.47,Charles Miranda,"Clinical scientist, histocompatibility and immunogenetics",Kelsey Hunter,Sales executive,647672,400011,christian
20211100019,IT,Amy Rodriguez,9665931107,amyrodriguez@gmail.com,F,48.69,93.58,86.48,96.75,65.52,93.42,24.04,Adam Yoder,Haematologist,Jordan Abbott,"Librarian, academic",1455634,400092,non-minority
20211100020,IT,John Powers,9665927983,johnpowers@gmail.com,M,82.88,70.92,94.23,53.25,85.07,60.79,49.6,Jonathan Price,"Surveyor, insurance",Michelle Owens,Health and safety inspector,681868,400072,non-minority
20211100021,IT,John Bennett,9967171033,johnbennett@yahoo.com,M,78.09,68.75,29.74,52.53,81.52,66.63,51.48,Larry Wilson,Hospital doctor,Kristi Martin,Dentist,1141194,400038,non-minority
20211100022,EXTC,Charles Grimes,9892581930,charlesgrimes@gmail.com,M,90.64,98.83,26.01,73.37,61.87,90.04,14.07,Isaac Mcdowell,Operational researcher,Autumn Brown,Prison officer,576015,400016,non-minority
20211100023,MECH,Angela Johnson,9665914313,angelajohnson@gmail.com,F,84.11,99.01,79.94,77.2,60.1,56,9.82,Trevor Hernandez,Solicitor,Eileen Andrews,Educational psychologist,1001327,400053,non-minority
20211100024,COMPS,Donald Ingram PhD,9665770201,donaldingramphd@gmail.com,M,69.7,57.67,18.54,51.48,96.42,74.61,55.23,Steven Conley,"Scientist, forensic",Kaitlyn Dean,"Doctor, hospital",818247,400079,non-minority
20211100025,EXTC,Thomas Spencer,9967445480,thomasspencer@yahoo.com,M,97.23,86.35,38.21,79.62,73.57,57.5,80.25,Thomas Ball,"Psychologist, counselling",Amanda Flores,Chief Strategy Officer,1321855,400011,non-minority
20211100026,IT,Willie Gross,9987235546,williegross@yahoo.com,M,90.16,67.63,50.81,87.36,57.1,59.34,46.22,Nathaniel Meyers,Financial planner,Sarah West,Professor Emeritus,474766,400091,non-minority
20211100027,EXTC,Susan Phillips,8999453900,susanphillips@gmail.com,F,69.15,57.79,63.71,79.82,98.36,79.49,77.83,Isaac Harrison,"Teacher, primary school",Amanda Hill,"Engineer, manufacturing",883381,400007,non-minority
20211100028,IT,Karen Howe,8452087580,karenhowe@yahoo.com,F,70.1,77.98,27.35,70.52,97.16,53.04,89.07,Zachary Doyle,"Administrator, charities/voluntary organisations",Jessica Preston,Medical physicist,1060639,400071,non-minority
20211100029,IT,Danielle Scott,8454024765,daniellescott@yahoo.com,F,60.54,64.83,56.43,51.75,65.41,95.53,42.56,Larry Gibbs,Transport planner,Deborah Barrett,Medical physicist,385408,400053,non-minority
