sid,stream,name,mob_no,email,gender,x_perc,xii_perc,cet_perc,physics_xii,chem_xii,maths_xii,jee_perc,father_name,father_occupation,mother_name,mother_occupation,parent_income,pincode,year,sector,quota,latitude,longitude,hmap
20211100001,COMPS,Randy Hicks,9004344533,randyhicks@yahoo.com,M,93.68,92.34,98.88,92.58,94.51,96.5,41.75,Grant Lawrence,Commissioning editor,Jeanne Ellis,Civil Service administrator,1181241,400087,2021,agriculture and forestry,non-minority,19.1391,72.8956,0.1
20211100002,MECH,Calvin Potts,8454933520,calvinpotts@gmail.com,M,53.21,62.19,25.59,63.61,95.65,75.17,89.4,Michael Ross,Film/video editor,Donna Costa,"Engineer, civil (contracting)",984300,400048,2021,agriculture and forestry,non-minority,19.1391,72.8956,0.1
20211100003,COMPS,Nancy Kelley,9004998508,nancykelley@gmail.com,F,92.32,80.62,69.99,95.71,53.59,67.03,10.09,David Ross,Historic buildings inspector/conservation officer,Ariel Lewis,Health service manager,1063261,400051,2021,information technology,non-minority,19.0596,72.8553,0.1
20211100004,COMPS,Robert Richmond,9967444524,robertrichmond@yahoo.com,M,77.7,85.31,13.83,66.49,65.51,73.43,52.48,Christopher Murphy,Leisure centre manager,Sheryl Holland,Fisheries officer,426343,400068,2021,constructions,non-minority,19.2591,72.8338,0.1
20211100005,IT,Andrew Watkins,9967644418,andrewwatkins@gmail.com,M,74.33,90.53,97.55,70.01,69.12,69.1,87.61,Daniel Becker,Psychotherapist,Kimberly Lee,Film/video editor,571753,400100,2021,public administrative services,non-minority,19.0929,72.8654,0.1
20211100006,MECH,William Sloan,7738579957,williamsloan@gmail.com,M,44.82,89.95,99.04,89.36,71.82,58.34,4.83,Daniel Bishop,"Psychologist, educational",Gail Jefferson,Musician,929205,400093,2021,communications,minority,19.1283,72.8677,0.1
20211100007,EXTC,Joshua Cooley,7738641702,joshuacooley@yahoo.com,M,66.9,94.12,59.28,62.68,88.15,67.11,33.62,Wesley Reynolds,"Education officer, community",Ashley Yates,Equality and diversity officer,189452,400019,2021,constructions,minority,19.0269,72.8554,0.1
20211100008,COMPS,Ronald Strickland,9987113690,ronaldstrickland@gmail.com,M,78.94,56.34,73.26,91.54,70.67,99.86,24.35,Ian Davis,IT consultant,Brittany Morris,Recruitment consultant,1368507,400101,2021,public administrative services,non-minority,19.2059,72.8661,0.1
20211100009,COMPS,Calvin Rodgers,9987883721,calvinrodgers@hotmail.com,M,39.77,69.63,16.91,53.57,50.13,90.81,1.5,David Arias,Research scientist (maths),Kimberly Cherry,"Runner, broadcasting/film/video",477648,400029,2021,manufacturing,non-minority,19.0797,72.8679,0.1
20211100010,MECH,Martin Davenport,9665391133,martindavenport@gmail.com,M,49.6,56.73,89.87,87.14,95.72,76.9,89.46,Kyle Frey,Insurance account manager,Mary Boone,Government social research officer,1101937,400059,2021,finance and real estate services,minority,19.1119,72.879,0.1
20211100011,MECH,Carla Huff,8451045862,carlahuff@yahoo.com,F,91.67,72.37,2.15,72.66,51.65,81.71,69.12,Don Smith,Patent attorney,Megan Barton,Production engineer,248191,400012,2021,finance and real estate services,minority,18.9995,72.8397,0.1
20211100012,MECH,Adam Pham,8999845726,adampham@gmail.com,M,79.03,51.42,17.33,61.67,81.45,51.09,89.03,John White,Electrical engineer,Debbie Adkins,Arboriculturist,1086832,400009,2021,constructions,non-minority,18.9583,72.8389,0.1
20211100013,IT,Mr. Daniel Davidson DDS,8999311474,mr.danieldavidsondds@gmail.com,M,53.32,68.8,66.54,77.23,57.52,87.1,62.94,Daniel Murphy,"Programmer, multimedia",Paula Nash,"Engineer, water",1037387,400058,2021,manufacturing,non-minority,19.1227,72.8302,0.1
20211100014,MECH,Michael Murphy,9987983494,michaelmurphy@gmail.com,M,69.46,87.89,70.52,69.75,65.03,82.18,64.32,Christopher Harvey,"Therapist, speech and language",Nancy Holt,Radio producer,249451,400038,2021,agriculture and forestry,minority,18.9377,72.839,0.1
20211100015,EXTC,Curtis Bernard,8451828226,curtisbernard@gmail.com,M,63.16,85.22,63.98,91.49,87.3,62.62,34.37,David Copeland,Air cabin crew,Kelly Stevens DDS,Counselling psychologist,1075520,400100,2021,communications,non-minority,19.0929,72.8654,0.1
20211100016,EXTC,Zachary Smith,8999361179,zacharysmith@hotmail.com,M,41.69,62.8,70.54,93.46,76.95,65.92,22.67,Samuel Hudson,Petroleum engineer,Amy Powell,"Therapist, drama",599377,400094,2021,information technology,minority,19.0359,72.9247,0.1
20211100017,MECH,Daniel Bryant,9987613743,danielbryant@gmail.com,M,67.6,60.35,7.79,53.25,84.21,89.5,15.68,Tracy Morgan,Ship broker,Amy White,Diagnostic radiographer,714902,400075,2021,agriculture and forestry,non-minority,19.0799,72.9174,0.1
20211100018,COMPS,Stephen Peterson,8999420592,stephenpeterson@gmail.com,M,89.71,78.05,19.43,85.84,66.7,71.14,40.25,Darren Elliott,Landscape architect,Michelle Hicks,Information systems manager,883809,400039,2021,constructions,non-minority,18.9223,72.8312,0.1
20211100019,MECH,Denise Clark,9987718384,deniseclark@gmail.com,F,99.46,88.44,51.34,73.49,89.61,63.08,64.82,Micheal Ross,Automotive engineer,Tracy Sexton,Fine artist,1095646,400071,2021,manufacturing,minority,19.0521,72.9007,0.1
